REF.,TÍTULO,BENEFICIARIO,CCAA,INICIO,FIN,PRESUPUESTO TOTAL,CONTRIBUCIÓN UE,ODS,ODS1,ODS2,ODS3,ODS4,ODS5,ODS6,ODS7,ODS8,ODS9,ODS10,ODS11,ODS12,ODS13,ODS14,ODS15,ODS16,ODS17
LIFE20 CCM/ES/001778,Quercus pyrenaica forest management to obtain cascading use of timber products as a tool for mitigation in Castilla-Leon,UNIVERSIDAD DE VALLADOLID,CASTILLA Y LEON,01/09/2021,31/08/2025,2030344,1116687,SI,,SI,,SI,,SI,,,,,,SI,,,,,SI
LIFE20 ENV/ES/000858,Market technology based on membranes for the reduction of ammonia in livestock farms,UNIVERSIDAD DE VALLADOLID,CASTILLA Y LEON,01/10/2021,30/09/2025,2537921,1395853,SI,,,,,,,,,,,,,,,,,SI
LIFE20 ENV/ES/000687,"FOREST BASED SOLUTIONS FOR SURFACE DRINKING WATER PROTECTION, BIODIVERSITY, BIOECONOMY AND CLIMATE RESILIENCE",UNIVERSIDAD DEL PAIS VASCO/EUSKAL HERRIKO UNIBERTSITATEA,PAIS VASCO,01/09/2021,31/08/2026,2223596,1222977,SI,,,,,,SI,,,,,,,,,,,
LIFE20 ENV/ES/000387,Reducing the impact of underwater noise on the marine environment of the Port of Cartagena.,UNIVERSIDAD POLITECNICA DE CARTAGENA,MURCIA,01/09/2021,31/12/2025,2135577,1168300,SI,,,,,,,,,,,SI,,,,,,
LIFE20 NAT/ES/000021,CONSERVATION AND RESTORATION OF MEDITERRANEAN ALDER FORESTS PRIORITY HABITAT IN WESTERN INTERNATIONAL TAJO RIVER BASIN,UNIVERSIDAD POLITECNICA DE MADRID ,MADRID,01/09/2021,31/08/2026,3987639,2985326,SI,,,,,,,,,,,,,,,SI,,
LIFE20 NAT/ES/001007,Integrated strategy for sustainable management of insular habitats in Natura 2000 islands of the Atlantic Ocean,UNIVERSIDAD DE SANTIAGO DE COMPOSTELA,GALICIA,01/09/2021,31/12/2026,5274922,3956056,SI,,,,,,,,,,,,,,,SI,,
LIFE20 CCM/ES/001656,Recovery of Granada-Vega poplar groves to boost biodiversity and long-term carbon capture through structural bioproducts,UNIVERSIDAD DE SANTIAGO DE COMPOSTELA,GALICIA,01/09/2021,30/09/2025,2985886,1642073,SI,,SI,,SI,SI,SI,,SI,,,,,,SI,,,SI
LIFE20 NAT/ES/001270,Ecological restoration of human-impacted benthic marine ecosystems through active strategies and participatory approach,UNIVERSITAT DE BARCELONA,CATALUÑA,01/09/2021,31/08/2026,3638829,2180211,SI,,,,,,,,,,,,,,SI,,,
LIFE20 NAT/ES/000369,Restoration of aquatic ecosystems of protected areas from the Alps and Pyrenees,UNIVERSITAT DE BARCELONA,CATALUÑA,01/01/2022,31/12/2026,4776469,2865865,SI,,,,,,,,,,,,,,,SI,,
LIFE20 CCA/ES/001809,Adaptive management of Mediterranean Pinus halepensis forests in the face of climate change,UNIVERSITAT DE LLEIDA,CATALUÑA,01/09/2021,31/08/2025,2606279,1433268,SI,,,,,,,,,,,,,SI,,,,
LIFE20 ENV/ES/000187,REDUCING NANOPARTICLE EXPOSURES IN INDUSTRIAL WORKPLACES,UNIVERSITAT POLITECNICA DE CATALUNYA,CATALUÑA,01/01/2022,30/06/2025,1533563,828606,SI,,,,,,,,SI,,,,,,,,,
LIFE20 CCA/ES/001795,Green and Nature-Based Solutions for climate change-resilient waste infrastructures,UNIVERSITAT POLITECNICA DE CATALUNYA,CATALUÑA,01/07/2021,31/12/2025,3037758,1670765,SI,,,,,,,,,,,,,SI,,,,
LIFE20 ENV/ES/000284,Reactive barriers for water renaturalization during managed aquifer recharge in the Baix Camp region,UNIVERSITAT POLITECNICA DE CATALUNYA,CATALUÑA,01/12/2021,30/11/2025,2102975,1027914,SI,,,,,,SI,,,,,,,,,,,
LIFE20 ENV/ES/000387,Reducing the impact of underwater noise on the marine environment of the Port of Cartagena.,UNIVERSITAT POLITECNICA DE VALENCIA,C.VALENCIANA,01/09/2021,31/12/2025,2135577,1168300,SI,,,,,,,,,,,SI,,,,,,
LIFE20 CCA/ES/001809,Adaptive management of Mediterranean Pinus halepensis forests in the face of climate change,UNIVERSITAT POLITECNICA DE VALENCIA,C.VALENCIANA,01/09/2021,31/08/2025,2606279,1433268,SI,,,,,,,,,,,,,SI,,,,
